200 30 9 1 20
0 0.25
43764 43764 43764 43764 43764 43764 43764 43764 43764 43764 43764 43764 43764 43764 43764 43764 43764 43764 43764 43764 43764 43764 43764 43764 43764 43764 43764 43764 43764 43764
w1 0.5
3625 3625 3625 3625 3625 3625 3625 3625 3625 3625 3625 3625 3625 3625 3625 3625 3625 3625 3625 3625 3625 3625 3625 3625 3625 3625 3625 3625 3625 3625
w2 0.5
1532 1532 1532 1532 1532 1532 1532 1532 1532 1532 1532 1532 1532 1532 1532 1532 1532 1532 1532 1532 1532 1532 1532 1532 1532 1532 1532 1532 1532 1532
w3 0.5
4119 4119 4119 4119 4119 4119 4119 4119 4119 4119 4119 4119 4119 4119 4119 4119 4119 4119 4119 4119 4119 4119 4119 4119 4119 4119 4119 4119 4119 4119
w4 0.5
3952 3952 3952 3952 3952 3952 3952 3952 3952 3952 3952 3952 3952 3952 3952 3952 3952 3952 3952 3952 3952 3952 3952 3952 3952 3952 3952 3952 3952 3952
w5 0.5
2495 2495 2495 2495 2495 2495 2495 2495 2495 2495 2495 2495 2495 2495 2495 2495 2495 2495 2495 2495 2495 2495 2495 2495 2495 2495 2495 2495 2495 2495
w6 0.5
3812 3812 3812 3812 3812 3812 3812 3812 3812 3812 3812 3812 3812 3812 3812 3812 3812 3812 3812 3812 3812 3812 3812 3812 3812 3812 3812 3812 3812 3812
w7 0.5
3507 3507 3507 3507 3507 3507 3507 3507 3507 3507 3507 3507 3507 3507 3507 3507 3507 3507 3507 3507 3507 3507 3507 3507 3507 3507 3507 3507 3507 3507
w8 0.5
4410 4410 4410 4410 4410 4410 4410 4410 4410 4410 4410 4410 4410 4410 4410 4410 4410 4410 4410 4410 4410 4410 4410 4410 4410 4410 4410 4410 4410 4410
w9 0.5
3198 3198 3198 3198 3198 3198 3198 3198 3198 3198 3198 3198 3198 3198 3198 3198 3198 3198 3198 3198 3198 3198 3198 3198 3198 3198 3198 3198 3198 3198
w10 0.5
3808 3808 3808 3808 3808 3808 3808 3808 3808 3808 3808 3808 3808 3808 3808 3808 3808 3808 3808 3808 3808 3808 3808 3808 3808 3808 3808 3808 3808 3808
w11 0.5
3277 3277 3277 3277 3277 3277 3277 3277 3277 3277 3277 3277 3277 3277 3277 3277 3277 3277 3277 3277 3277 3277 3277 3277 3277 3277 3277 3277 3277 3277
w12 0.5
3982 3982 3982 3982 3982 3982 3982 3982 3982 3982 3982 3982 3982 3982 3982 3982 3982 3982 3982 3982 3982 3982 3982 3982 3982 3982 3982 3982 3982 3982
w13 0.5
1814 1814 1814 1814 1814 1814 1814 1814 1814 1814 1814 1814 1814 1814 1814 1814 1814 1814 1814 1814 1814 1814 1814 1814 1814 1814 1814 1814 1814 1814
w14 0.5
2381 2381 2381 2381 2381 2381 2381 2381 2381 2381 2381 2381 2381 2381 2381 2381 2381 2381 2381 2381 2381 2381 2381 2381 2381 2381 2381 2381 2381 2381
w15 0.5
2396 2396 2396 2396 2396 2396 2396 2396 2396 2396 2396 2396 2396 2396 2396 2396 2396 2396 2396 2396 2396 2396 2396 2396 2396 2396 2396 2396 2396 2396
w16 0.5
1629 1629 1629 1629 1629 1629 1629 1629 1629 1629 1629 1629 1629 1629 1629 1629 1629 1629 1629 1629 1629 1629 1629 1629 1629 1629 1629 1629 1629 1629
w17 0.5
4456 4456 4456 4456 4456 4456 4456 4456 4456 4456 4456 4456 4456 4456 4456 4456 4456 4456 4456 4456 4456 4456 4456 4456 4456 4456 4456 4456 4456 4456
w18 0.5
4046 4046 4046 4046 4046 4046 4046 4046 4046 4046 4046 4046 4046 4046 4046 4046 4046 4046 4046 4046 4046 4046 4046 4046 4046 4046 4046 4046 4046 4046
w19 0.5
2601 2601 2601 2601 2601 2601 2601 2601 2601 2601 2601 2601 2601 2601 2601 2601 2601 2601 2601 2601 2601 2601 2601 2601 2601 2601 2601 2601 2601 2601
w20 0.5
2878 2878 2878 2878 2878 2878 2878 2878 2878 2878 2878 2878 2878 2878 2878 2878 2878 2878 2878 2878 2878 2878 2878 2878 2878 2878 2878 2878 2878 2878
r1 0.73321
69 69 69 69 69 69 69 69 69 69 69 69 69 69 69 69 69 69 69 69 69 69 69 69 69 69 69 69 69 69
98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98
r2 0.97932
50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50
