200 30 0 1 5
0 0.25
42622 38794 38173 39847 31431 37462 41682 44390 34292 35791 35057 35115 36521 31157 33574 36491 41947 37951 39231 40021 35537 33740 30054 44030 39098 40325 31081 37516 43516 38002
w1 0.5
3639 3296 3904 1838 2080 2718 1521 4470 4362 4312 3879 3477 2185 2036 4404 2676 1983 3707 3259 3357 3244 3999 3411 2627 4450 1736 4060 3318 3605 3063
w2 0.5
2744 2211 3305 3434 2791 1875 3455 3114 2089 3268 2493 4418 4305 3382 4322 2482 4217 3530 1593 3074 2626 4093 1986 3753 4043 2574 3314 3213 1679 1877
w3 0.5
3275 2588 4419 2210 4232 1794 1517 2846 2735 3637 4191 2653 3443 3073 2828 4425 2791 2210 1518 1717 3336 4463 2555 2590 4358 3630 4404 3071 4161 2133
w4 0.5
3289 3573 4104 4351 3305 1750 4368 2003 2985 3506 1695 4139 2449 3620 2467 2726 2263 3177 3096 2481 2365 3060 3536 3455 3270 3018 3711 1842 3032 1696
w5 0.5
1821 3770 4484 1672 2927 1734 1540 3783 3572 3898 4330 3563 1847 3450 1530 3073 4214 3559 2022 2547 4424 3582 1935 3732 2704 3454 2943 3398 1986 3140
r1 0.583047
82 22 18 91 88 18 49 92 62 29 95 31 97 15 97 11 76 54 58 76 63 98 98 87 59 53 51 82 75 84
8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8
r2 0.540633
21 46 83 35 87 76 89 14 71 20 11 79 14 14 55 63 64 28 26 59 23 14 16 72 57 93 47 41 97 97
36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36
r3 0.523591
19 45 24 90 31 33 62 44 36 41 53 45 88 17 6 17 35 61 35 44 72 7 96 62 47 34 56 41 65 67
73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73
r4 0.877973
92 67 33 26 29 72 54 62 22 92 51 31 93 60 62 51 90 6 20 90 95 78 34 26 31 70 87 90 43 64
95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95
r5 0.906498
25 53 53 92 8 12 11 95 55 38 85 15 95 37 98 93 52 88 85 27 22 12 51 84 91 41 24 55 33 54
78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78
r6 0.730326
28 42 5 36 49 92 86 82 77 94 77 11 92 67 56 80 53 78 94 60 26 75 51 63 94 98 88 48 73 42
45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45
r7 0.914273
45 30 25 37 13 7 12 7 76 18 94 44 69 71 89 45 62 49 66 37 92 26 31 87 15 72 57 49 17 54
28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28
r8 0.76063
46 84 85 48 91 87 22 7 79 58 71 50 47 16 10 91 75 42 80 96 69 67 11 38 21 52 50 71 73 97
44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44
r9 0.609927
29 59 70 14 76 72 88 34 41 35 76 49 40 64 24 75 44 21 41 8 24 74 25 72 21 88 45 19 29 56
