200 15 4 1 10
0 0.25
34250 36812 35879 43694 43743 36774 30101 35260 36754 33851 43411 31861 33271 41665 36065
w1 0.5
3925 4031 2406 2665 1714 1553 3393 3788 4369 3820 3157 3668 3584 2035 3612
w2 0.5
3199 3491 3880 1942 1617 4334 4202 2371 2185 2966 1584 2457 2983 1650 2173
w3 0.5
1533 3079 3926 1747 3484 3171 4387 3705 2843 3044 2874 1927 3931 1986 2965
w4 0.5
4329 2698 3425 4447 2532 3479 2670 3217 1945 2755 1526 3429 2905 2200 1690
w5 0.5
4131 4468 3537 3468 3492 3424 3025 1835 2320 4399 2615 1751 2237 4432 2881
w6 0.5
2630 1806 2014 3662 3786 3536 2732 1583 1791 2758 3864 3548 3810 4054 2338
w7 0.5
4375 4375 3114 3719 3651 1639 4406 4471 1891 2873 2074 2628 2806 3456 3195
w8 0.5
4114 4061 3451 3752 3098 2035 4188 3741 3645 3552 3142 2956 3459 3980 2602
w9 0.5
4208 1568 2905 3711 1707 2811 3683 2098 4185 4257 3579 2491 3565 2274 2279
w10 0.5
1836 1582 3136 3786 2117 2824 3027 1615 1877 1669 3423 3836 1502 1525 3022
r1 0.578564
97 93 52 75 66 8 85 46 77 23 6 53 15 5 46
84 57 17 79 91 77 39 28 73 12 16 40 34 50 69
r2 0.990542
63 21 20 29 21 5 67 90 21 66 44 31 66 82 15
20 95 86 12 69 25 32 42 32 41 75 61 86 44 30
r3 0.762014
44 46 29 60 43 88 48 59 54 84 82 18 66 90 33
58 76 37 27 97 65 62 26 98 37 83 84 73 10 12
r4 0.784801
53 94 7 89 82 47 45 34 31 28 47 92 15 72 51
83 10 70 80 67 32 99 65 61 79 46 35 84 54 5
r5 0.890843
94 30 88 73 72 34 7 98 54 46 87 64 19 38 47
21 9 25 83 33 21 45 90 95 86 22 76 40 22 99
r6 0.876313
29 25 78 93 54 78 88 5 24 76 61 35 11 9 48
12 26 28 41 42 68 31 34 55 48 10 87 62 10 24
r7 0.625928
45 45 25 94 23 13 92 40 81 53 67 88 54 16 95
75 39 33 14 5 56 40 55 99 46 42 58 48 62 25
r8 0.973259
63 91 90 81 97 82 18 78 36 81 63 85 89 56 58
25 84 64 25 41 5 75 37 43 15 88 83 69 10 54
r9 0.532407
46 55 47 40 38 57 15 66 38 74 51 24 27 6 45
8 66 62 41 63 35 71 98 42 59 81 11 61 32 71
r10 0.933179
23 69 10 56 26 21 22 57 87 66 73 14 67 18 14
30 73 51 85 8 22 80 45 73 61 48 34 89 16 56
r11 0.896171
22 62 86 44 78 5 93 65 66 66 71 31 77 80 53
50 28 39 53 42 16 93 15 73 38 42 59 49 93 15
r12 0.658644
72 61 52 47 62 42 12 25 5 75 48 77 53 97 24
76 33 69 19 44 59 29 14 92 63 65 41 54 73 20
r13 0.666741
76 11 88 35 48 92 53 48 65 96 23 18 90 42 89
20 9 8 57 63 30 66 56 88 29 89 39 97 6 96
r14 0.64589
7 24 10 47 17 55 88 77 52 11 90 39 45 76 55
49 77 9 10 7 67 58 87 91 47 27 85 49 20 25
r15 0.766334
44 26 62 53 77 47 27 26 53 17 60 91 86 12 37
63 13 42 65 76 95 49 64 40 68 50 84 81 67 5
r16 0.808951
26 55 57 98 98 79 21 48 89 74 39 75 81 72 38
87 11 95 63 7 41 27 39 7 72 23 83 36 20 79
r17 0.904339
31 95 37 29 71 53 70 60 24 9 35 6 73 65 85
80 57 48 79 94 67 18 96 37 33 79 68 48 55 11
r18 0.830651
98 15 5 67 61 70 27 80 74 55 78 45 20 63 25
73 11 96 64 74 11 60 11 36 36 74 76 83 78 57
r19 0.888501
65 61 40 26 28 60 6 98 15 80 40 27 43 60 92
47 53 56 18 59 13 21 90 41 87 63 21 62 20 78
r20 0.965145
36 68 98 60 25 5 55 35 80 90 55 20 47 44 59
92 93 72 51 98 88 38 40 73 93 56 35 13 31 63
r21 0.877696
29 84 17 49 81 64 77 58 51 32 74 93 68 30 85
61 98 33 60 83 63 92 56 56 48 84 61 72 47 44
r22 0.716668
26 41 21 7 97 93 61 48 22 32 38 85 57 20 44
52 45 99 36 8 91 84 56 36 68 14 5 16 51 29
r23 0.606809
62 95 71 59 85 29 99 99 53 37 82 11 52 26 55
92 22 83 92 13 68 45 41 33 52 42 41 98 63 21
r24 0.563647
13 38 74 94 63 74 90 16 11 72 19 56 90 70 48
12 50 38 17 18 78 54 44 30 88 80 25 51 96 87
r25 0.90297
26 41 93 81 15 83 89 18 53 6 69 43 68 15 51
18 45 63 29 23 14 68 46 97 48 66 49 42 51 15
r26 0.84935
51 37 47 58 17 36 72 65 37 38 9 97 45 52 16
85 15 40 6 22 8 47 19 48 10 60 82 53 68 26
r27 0.814287
55 64 70 68 93 39 30 27 72 34 25 18 81 36 95
89 68 96 11 68 40 22 16 43 75 91 91 43 14 11
r28 0.789715
67 21 30 60 55 55 83 28 82 5 38 60 36 30 49
96 27 52 64 59 67 72 97 42 63 86 80 70 89 31
r29 0.969845
48 57 17 98 9 92 23 86 92 53 47 25 79 88 21
98 38 77 57 5 49 52 42 10 35 19 75 24 45 7
r30 0.707116
56 84 84 60 76 7 44 65 53 83 85 32 71 98 30
9 75 79 6 22 31 43 24 61 54 91 80 95 90 56
r31 0.825228
37 61 98 14 64 39 74 17 22 57 41 86 55 66 90
28 45 92 42 69 32 58 30 82 49 8 74 39 56 51
r32 0.831262
13 72 94 69 12 69 78 29 23 19 15 70 77 98 90
19 87 32 83 16 85 11 90 31 14 64 62 65 16 36
r33 0.966033
9 48 85 16 14 63 37 29 77 48 94 54 43 85 68
30 14 49 38 92 55 29 23 64 88 78 26 96 14 71
r34 0.637941
16 97 26 22 60 59 46 34 99 38 83 42 23 49 64
29 93 97 21 45 26 37 6 12 15 27 8 24 93 21
r35 0.894145
15 59 24 71 15 66 5 14 99 81 48 19 27 12 43
17 7 57 57 25 89 58 32 99 80 36 23 70 49 53
r36 0.531162
10 89 27 20 52 25 27 48 98 70 59 25 75 94 37
74 51 86 94 40 44 27 36 21 55 52 83 96 5 53
r37 0.723194
42 72 23 86 92 42 34 87 9 88 12 79 82 41 53
34 27 45 66 66 67 98 79 19 50 62 15 47 15 59
r38 0.83636
31 65 35 20 7 61 7 11 49 11 83 29 47 33 55
66 73 21 29 37 16 8 51 58 63 58 98 70 18 48
r39 0.908439
10 47 57 9 9 56 12 50 63 87 71 7 21 26 66
89 40 90 24 48 91 70 7 54 26 5 24 36 45 36
r40 0.716866
76 26 51 80 78 55 27 38 43 94 37 59 17 98 45
52 86 64 96 77 32 98 28 50 95 47 81 37 76 53
r41 0.542923
75 27 29 50 74 51 80 17 42 17 68 55 13 14 7
91 70 98 68 94 93 91 44 85 35 25 19 11 71 90
r42 0.507216
14 79 88 84 31 68 96 65 77 65 20 82 71 20 73
38 15 38 33 6 26 69 83 57 90 98 60 58 85 16
r43 0.642738
90 84 76 18 49 69 76 23 31 91 6 97 8 71 33
19 10 61 17 31 30 95 80 17 90 38 70 76 46 66
r44 0.6368
47 44 44 88 13 20 9 40 8 7 34 12 73 62 23
75 20 35 7 43 27 79 55 18 14 23 89 55 81 54
r45 0.527842
93 25 11 98 40 15 35 43 17 62 47 83 21 62 58
37 89 57 75 17 34 27 27 43 45 13 91 24 62 72
r46 0.77143
